method,hybrid,none,oversampling,undersampling
Old,0.6871,0.6472,0.6465,0.6529
New,0.8321,0.8438,0.8004,0.8394
Retrain,0.8151,0.8114,0.7642,0.8002
Finetune,0.8220,0.7899,0.7836,0.7964
