new_years,none,undersampling,oversampling,hybrid
14yr,0.0033,0.0087,0.0000,0.0262
12yr,0.0000,0.0000,0.0000,0.0000
10yr,0.0000,0.0000,0.0000,0.0000
8yr,0.0000,0.0000,0.0000,0.0033
6yr,0.0000,0.0000,0.0000,0.0033
4yr,0.0000,0.0000,0.0000,0.0000
2yr,0.0000,0.0000,0.0000,0.0000
avg,0.0005,0.0012,0.0000,0.0047
