old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5381,0.5353,0.5577,0.5573,0.5471
2yr,0.5339,0.5483,0.5707,0.6342,0.5717
3yr,0.5409,0.5602,0.5755,0.6067,0.5708
4yr,0.5657,0.5784,0.5737,0.6094,0.5818
5yr,0.5721,0.5948,0.6196,0.6263,0.6032
6yr,0.6042,0.5935,0.6034,0.6369,0.6095
7yr,0.6113,0.6114,0.6314,0.6580,0.6280
8yr,0.6379,0.6438,0.6327,0.6981,0.6531
9yr,0.6876,0.6681,0.6622,0.7156,0.6834
10yr,0.7374,0.7318,0.7125,0.7624,0.7360
11yr,0.7445,0.7580,0.7063,0.7544,0.7408
12yr,0.7531,0.7425,0.7225,0.7786,0.7492
13yr,0.7582,0.7807,0.7453,0.7872,0.7678
14yr,0.7764,0.7946,0.7378,0.7938,0.7756
15yr,0.7890,0.8009,0.7531,0.7980,0.7852
avg,0.6567,0.6628,0.6536,0.6945,0.6669
