old+new_years,none,undersampling,oversampling,hybrid,avg
2+14,0.3628,0.3050,0.1668,0.0000,0.2086
4+12,0.2044,0.1186,0.0000,0.1180,0.1103
6+10,0.0000,0.0000,0.0000,0.0000,0.0000
8+8,0.0000,0.0000,0.0000,0.0000,0.0000
10+6,0.0000,0.0000,0.0000,0.0000,0.0000
12+4,0.0000,0.0000,0.0000,0.0000,0.0000
14+2,0.1187,0.0000,0.0000,0.2344,0.0883
avg,0.0980,0.0605,0.0238,0.0503,0.0582
