old+new_years,none,undersampling,oversampling,hybrid,avg
2+14,0.0940,0.0754,0.4115,0.1988,0.1950
4+12,0.0871,0.0960,0.1240,0.1386,0.1114
6+10,0.1000,0.0739,0.1351,0.1050,0.1035
8+8,0.0780,0.0648,0.1033,0.1138,0.0900
10+6,0.0551,0.0965,0.1436,0.1241,0.1048
12+4,0.1063,0.0602,0.0650,0.0939,0.0813
14+2,0.0979,0.0784,0.1045,0.0940,0.0937
avg,0.0883,0.0779,0.1553,0.1240,0.1114
