old+new_years,none,undersampling,oversampling,hybrid,avg
2+14,0.6969,0.7213,0.3136,0.4739,0.5514
4+12,0.6376,0.6202,0.6028,0.5122,0.5932
6+10,0.5505,0.5749,0.5192,0.5052,0.5375
8+8,0.5261,0.5226,0.5610,0.4913,0.5253
10+6,0.6167,0.4599,0.4495,0.4669,0.4983
12+4,0.4739,0.5436,0.6341,0.4634,0.5287
14+2,0.4843,0.4983,0.5679,0.4983,0.5122
avg,0.5694,0.5630,0.5212,0.4873,0.5352
