new_years,none,undersampling,oversampling,hybrid
14yr,0.1185,0.1182,0.0000,0.2028
12yr,0.0000,0.0000,0.0000,0.0000
10yr,0.0000,0.0000,0.0000,0.0000
8yr,0.0000,0.0000,0.0000,0.0000
6yr,0.0000,0.0000,0.0000,0.0000
4yr,0.0000,0.0000,0.0000,0.0000
2yr,0.0000,0.0000,0.0000,0.0000
avg,0.0169,0.0169,0.0000,0.0290
