new_years,none,undersampling,oversampling,hybrid,avg
14yr,0.5344,0.5376,0.5665,0.6114,0.5625
12yr,0.5447,0.5260,0.5759,0.5970,0.5609
10yr,0.5840,0.5581,0.5840,0.5831,0.5773
8yr,0.6061,0.5688,0.5786,0.5718,0.5813
6yr,0.6001,0.5911,0.5968,0.6118,0.6000
4yr,0.5940,0.5554,0.5430,0.5834,0.5689
2yr,0.5923,0.5965,0.6004,0.5994,0.5972
avg,0.5794,0.5619,0.5779,0.5940,0.5783
