old+new_years,none,undersampling,oversampling,hybrid
2+14,0.0000,0.0000,0.0000,0.0076
4+12,0.0000,0.0000,0.0000,0.0076
6+10,0.0000,0.0000,0.0000,0.0076
8+8,0.0000,0.0000,0.0000,0.0076
10+6,0.0000,0.0000,0.0000,0.0076
12+4,0.0000,0.0000,0.0000,0.0076
14+2,0.0000,0.0000,0.0000,0.0076
avg,0.0000,0.0000,0.0000,0.0076
