new_years,none,undersampling,oversampling,hybrid,avg
7yr,0.2428,0.2374,0.2493,0.2659,0.2489
6yr,0.2349,0.2396,0.2525,0.2650,0.2480
5yr,0.2338,0.2414,0.2494,0.2526,0.2443
4yr,0.2303,0.2324,0.2410,0.2553,0.2398
3yr,0.2204,0.2179,0.2302,0.2433,0.2279
2yr,0.2178,0.2124,0.2275,0.2407,0.2246
1yr,0.2109,0.2131,0.2202,0.2415,0.2214
avg,0.2273,0.2277,0.2386,0.2520,0.2364
