old+new_years,none,undersampling,oversampling,hybrid,avg
1+7,0.4795,0.6198,0.6737,0.4181,0.5478
2+6,0.4592,0.5464,0.5270,0.5127,0.5113
3+5,0.5921,0.6124,0.5907,0.6581,0.6133
4+4,0.5851,0.5925,0.5376,0.4781,0.5483
5+3,0.6419,0.5431,0.5690,0.5219,0.5690
6+2,0.6004,0.5362,0.5824,0.4979,0.5542
7+1,0.6119,0.4942,0.6871,0.6641,0.6143
avg,0.5671,0.5635,0.5954,0.5358,0.5655
