old+new_years,none,undersampling,oversampling,hybrid,avg
2+14,0.1418,0.1077,0.0476,0.0000,0.0743
4+12,0.0714,0.0274,0.0000,0.0241,0.0307
6+10,0.0000,0.0000,0.0000,0.0000,0.0000
8+8,0.0000,0.0000,0.0000,0.0000,0.0000
10+6,0.0000,0.0000,0.0000,0.0000,0.0000
12+4,0.0000,0.0000,0.0000,0.0000,0.0000
14+2,0.0278,0.0000,0.0000,0.0816,0.0274
avg,0.0344,0.0193,0.0068,0.0151,0.0189
