new_years,none,undersampling,oversampling,hybrid,avg
14yr,1.0000,1.0000,1.0000,1.0000,1.0000
12yr,1.0000,1.0000,1.0000,1.0000,1.0000
10yr,1.0000,1.0000,1.0000,1.0000,1.0000
8yr,1.0000,1.0000,1.0000,1.0000,1.0000
6yr,1.0000,1.0000,1.0000,1.0000,1.0000
4yr,1.0000,1.0000,1.0000,1.0000,1.0000
2yr,1.0000,1.0000,1.0000,1.0000,1.0000
avg,1.0000,1.0000,1.0000,1.0000,1.0000
