old+new_years,none,undersampling,oversampling,hybrid,avg
1+7,0.5552,0.5283,0.5118,0.5880,0.5459
2+6,0.5737,0.5659,0.5857,0.5911,0.5791
3+5,0.5549,0.5490,0.5654,0.5342,0.5509
4+4,0.5636,0.5602,0.5842,0.6016,0.5774
5+3,0.5341,0.5702,0.5730,0.5927,0.5675
6+2,0.5516,0.5756,0.5692,0.5969,0.5734
7+1,0.5317,0.5715,0.5100,0.5288,0.5355
avg,0.5521,0.5601,0.5571,0.5762,0.5614
