old+new_years,none,undersampling,oversampling,hybrid,avg
1+7,0.1320,0.1456,0.1648,0.1459,0.1471
2+6,0.1414,0.1553,0.1703,0.1702,0.1593
3+5,0.1655,0.1719,0.1822,0.1975,0.1793
4+4,0.1742,0.1743,0.1739,0.1686,0.1727
5+3,0.1734,0.1588,0.1774,0.1768,0.1716
6+2,0.1663,0.1622,0.1817,0.1709,0.1703
7+1,0.1455,0.1454,0.1811,0.1926,0.1662
avg,0.1569,0.1591,0.1759,0.1747,0.1666
