new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.0780,0.0838,0.1408,0.1157,0.1046
14yr,0.0726,0.0690,0.1059,0.1035,0.0878
13yr,0.0910,0.0658,0.0950,0.1011,0.0882
12yr,0.1013,0.0633,0.0983,0.1027,0.0914
11yr,0.0682,0.0535,0.0894,0.0721,0.0708
10yr,0.0481,0.0526,0.1017,0.0950,0.0743
9yr,0.0661,0.0594,0.0648,0.0728,0.0658
8yr,0.0506,0.0535,0.0815,0.0607,0.0616
7yr,0.0241,0.0563,0.0600,0.0734,0.0534
6yr,0.0305,0.0376,0.0893,0.0618,0.0548
5yr,0.0436,0.0534,0.0474,0.0548,0.0498
4yr,0.0440,0.0332,0.0383,0.0496,0.0413
3yr,0.0444,0.0365,0.0436,0.0689,0.0483
2yr,0.0214,0.0230,0.0383,0.0422,0.0312
1yr,0.0154,0.0223,0.0449,0.1153,0.0495
avg,0.0533,0.0509,0.0759,0.0793,0.0649
