method,hybrid,none,oversampling,undersampling
Old,0.4160,0.3136,0.3930,0.3064
New,0.4973,0.4348,0.4195,0.4230
Retrain,0.4774,0.4425,0.5331,0.4007
Finetune,0.5621,0.4553,0.5152,0.4908
