old+new_years,none,undersampling,oversampling,hybrid,avg
1+7,0.2106,0.2106,0.2190,0.2333,0.2184
2+6,0.2242,0.2313,0.2504,0.2523,0.2396
3+5,0.2354,0.2382,0.2521,0.2504,0.2440
4+4,0.2454,0.2442,0.2527,0.2549,0.2493
5+3,0.2337,0.2357,0.2513,0.2581,0.2447
6+2,0.2349,0.2403,0.2532,0.2550,0.2459
7+1,0.2116,0.2259,0.2294,0.2449,0.2279
avg,0.2280,0.2323,0.2440,0.2498,0.2385
