new_years,none,undersampling,oversampling,hybrid
7yr,0.4896,0.4887,0.9797,0.8616
6yr,0.5072,0.5021,0.9820,0.8579
5yr,0.5113,0.5058,0.9834,0.8616
4yr,0.5598,0.5436,0.9742,0.8685
3yr,0.6045,0.6128,0.9760,0.8620
2yr,0.6664,0.6465,0.9654,0.8523
1yr,0.7656,0.7411,0.9539,0.8233
avg,0.5863,0.5772,0.9735,0.8553
