new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.5226,0.5052,0.5192,0.4983,0.5113
14yr,0.5540,0.5679,0.5366,0.4948,0.5383
13yr,0.4599,0.5993,0.5540,0.4669,0.5200
12yr,0.4669,0.5087,0.5122,0.4321,0.4800
11yr,0.5122,0.5784,0.5470,0.5157,0.5383
10yr,0.5575,0.5575,0.4774,0.4390,0.5078
9yr,0.4983,0.5296,0.5819,0.4808,0.5226
8yr,0.5331,0.5401,0.5296,0.5226,0.5314
7yr,0.6237,0.5401,0.6167,0.4774,0.5645
6yr,0.6341,0.5819,0.5366,0.5157,0.5671
5yr,0.5505,0.5261,0.6272,0.5087,0.5531
4yr,0.5749,0.6098,0.6620,0.5610,0.6019
3yr,0.5401,0.5923,0.6307,0.5017,0.5662
2yr,0.7108,0.6969,0.7038,0.6516,0.6908
avg,0.5528,0.5667,0.5739,0.5047,0.5495
