old+new_years,none,undersampling,oversampling,hybrid,avg
2+14,0.7086,0.6920,0.6559,0.7163,0.6932
4+12,0.6932,0.6975,0.6481,0.7016,0.6851
6+10,0.7013,0.7212,0.6381,0.6902,0.6877
8+8,0.7163,0.7029,0.6499,0.7161,0.6963
10+6,0.6848,0.7125,0.6486,0.7134,0.6898
12+4,0.7103,0.6962,0.6309,0.6963,0.6834
14+2,0.7234,0.7137,0.6445,0.7091,0.6977
avg,0.7054,0.7051,0.6451,0.7061,0.6904
