old+new_years,none,undersampling,oversampling,hybrid,avg
1+7,0.5827,0.5901,0.6061,0.6284,0.6018
2+6,0.6032,0.6149,0.6391,0.6477,0.6262
3+5,0.6235,0.6215,0.6351,0.6461,0.6315
4+4,0.6389,0.6375,0.6482,0.6549,0.6449
5+3,0.6269,0.6291,0.6441,0.6533,0.6383
6+2,0.6201,0.6221,0.6402,0.6507,0.6333
7+1,0.5883,0.6028,0.6202,0.6312,0.6106
avg,0.6120,0.6169,0.6333,0.6446,0.6267
