old+new_years,none,undersampling,oversampling,hybrid,avg
2+14,0.1429,0.1186,0.1538,0.0000,0.1038
4+12,0.2308,0.5000,0.0000,0.0833,0.2035
6+10,0.0000,0.0000,0.0000,0.0000,0.0000
8+8,0.0000,0.0000,0.0000,0.0000,0.0000
10+6,0.0000,0.0000,0.0000,0.0000,0.0000
12+4,0.0000,0.0000,0.0000,0.0000,0.0000
14+2,1.0000,0.0000,0.0000,0.1481,0.2870
avg,0.1962,0.0884,0.0220,0.0331,0.0849
