new_years,none,undersampling,oversampling,hybrid
14yr,0.0267,0.0250,0.0000,0.0612
12yr,0.0000,0.0000,0.0000,0.0000
10yr,0.0000,0.0000,0.0000,0.0000
8yr,0.0000,0.0000,0.0000,0.0000
6yr,0.0000,0.0000,0.0000,0.0000
4yr,0.0000,0.0000,0.0000,0.0000
2yr,0.0000,0.0000,0.0000,0.0000
avg,0.0038,0.0036,0.0000,0.0087
