old_years,none,undersampling,oversampling,hybrid,avg
2yr,0.1972,0.1268,0.2113,0.3662,0.2254
4yr,0.4225,0.4085,0.8028,0.7887,0.6056
6yr,1.0000,1.0000,0.9718,1.0000,0.9930
8yr,0.1268,0.1408,0.1549,0.3662,0.1972
10yr,0.0845,0.0845,0.4085,0.5493,0.2817
12yr,0.1127,0.1268,0.3380,0.3099,0.2218
14yr,1.0000,0.9859,1.0000,1.0000,0.9965
avg,0.4205,0.4105,0.5553,0.6258,0.5030
