old+new_years,none,undersampling,oversampling,hybrid,avg
1+7,0.5205,0.3802,0.3263,0.5819,0.4522
2+6,0.5408,0.4536,0.4730,0.4873,0.4887
3+5,0.4079,0.3876,0.4093,0.3419,0.3867
4+4,0.4149,0.4075,0.4624,0.5219,0.4517
5+3,0.3581,0.4569,0.4310,0.4781,0.4310
6+2,0.3996,0.4638,0.4176,0.5021,0.4458
7+1,0.3881,0.5058,0.3129,0.3359,0.3857
avg,0.4329,0.4365,0.4046,0.4642,0.4345
