old+new_years,none,undersampling,oversampling,hybrid,avg
2+14,0.0716,0.0812,0.0384,0.0595,0.0627
4+12,0.0905,0.0865,0.0712,0.0777,0.0815
6+10,0.0971,0.1209,0.0785,0.1013,0.0995
8+8,0.1269,0.1499,0.0923,0.0966,0.1164
10+6,0.1427,0.1181,0.0840,0.0932,0.1095
12+4,0.1059,0.1536,0.1186,0.1203,0.1246
14+2,0.1120,0.1328,0.0900,0.1132,0.1120
avg,0.1067,0.1204,0.0819,0.0945,0.1009
