old+new_years,none,undersampling,oversampling,hybrid,avg
2+14,0.8592,0.9014,0.9718,1.0000,0.9331
4+12,0.9577,0.9859,1.0000,0.9859,0.9824
6+10,1.0000,1.0000,1.0000,1.0000,1.0000
8+8,1.0000,1.0000,1.0000,1.0000,1.0000
10+6,1.0000,1.0000,1.0000,1.0000,1.0000
12+4,1.0000,1.0000,1.0000,1.0000,1.0000
14+2,0.9859,1.0000,1.0000,0.9437,0.9824
avg,0.9718,0.9839,0.9960,0.9899,0.9854
