new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.2015,0.1980,0.1306,0.1583,0.1721
14yr,0.1991,0.2002,0.1574,0.1732,0.1825
13yr,0.2021,0.1931,0.1646,0.1851,0.1862
12yr,0.1849,0.2376,0.1743,0.1938,0.1977
11yr,0.2249,0.2305,0.1746,0.2153,0.2113
10yr,0.2563,0.2431,0.1811,0.2029,0.2208
9yr,0.2353,0.2381,0.2027,0.2277,0.2259
8yr,0.2607,0.2488,0.1929,0.2378,0.2351
7yr,0.3158,0.2413,0.1970,0.2278,0.2455
6yr,0.2770,0.2797,0.1784,0.2382,0.2433
5yr,0.2748,0.2556,0.2225,0.2599,0.2532
4yr,0.2604,0.2811,0.2299,0.2500,0.2553
3yr,0.2776,0.2779,0.2314,0.2277,0.2537
2yr,0.2648,0.2677,0.2046,0.2240,0.2402
1yr,0.2742,0.2520,0.2046,0.1658,0.2242
avg,0.2473,0.2430,0.1898,0.2125,0.2231
