old+new_years,none,undersampling,oversampling,hybrid,avg
2+14,0.8287,0.8111,0.7817,0.8123,0.8085
4+12,0.8037,0.8168,0.7851,0.8130,0.8046
6+10,0.8149,0.8210,0.7679,0.8145,0.8046
8+8,0.8158,0.8153,0.7789,0.8095,0.8049
10+6,0.8075,0.8191,0.7757,0.8245,0.8067
12+4,0.8241,0.8200,0.7663,0.8058,0.8041
14+2,0.8233,0.8215,0.7802,0.8132,0.8095
avg,0.8168,0.8178,0.7765,0.8132,0.8061
