old_years,none,undersampling,oversampling,hybrid,avg
2yr,0.3589,0.3057,0.3665,0.4472,0.3696
4yr,0.5320,0.5602,0.4147,0.4282,0.4838
6yr,0.0000,0.0000,0.1655,0.0000,0.0414
8yr,0.2508,0.2208,0.2734,0.4970,0.3105
10yr,0.2720,0.2323,0.5264,0.4814,0.3780
12yr,0.2329,0.3209,0.5233,0.5120,0.3973
14yr,0.0000,0.1178,0.0000,0.0000,0.0294
avg,0.2352,0.2511,0.3243,0.3380,0.2871
