old+new_years,none,undersampling,oversampling,hybrid,avg
2+14,0.3031,0.2787,0.6864,0.5261,0.4486
4+12,0.3624,0.3798,0.3972,0.4878,0.4068
6+10,0.4495,0.4251,0.4808,0.4948,0.4625
8+8,0.4739,0.4774,0.4390,0.5087,0.4747
10+6,0.3833,0.5401,0.5505,0.5331,0.5017
12+4,0.5261,0.4564,0.3659,0.5366,0.4713
14+2,0.5157,0.5017,0.4321,0.5017,0.4878
avg,0.4306,0.4370,0.4788,0.5127,0.4648
