ratio_new,method,AUC,F1
new_20,retrain,0.6621041810190695,0.17154959406989057
new_20,ensemble_new_3,0.6664676328667649,0.18705035971223022
new_20,DES_baseline,0.6349578187475453,0.15857826384142173
new_20,DES_combined,0.656302611116238,0.16181689141234917
new_50,retrain,0.6621041810190695,0.17154959406989057
new_50,ensemble_new_3,0.6664676328667649,0.18705035971223022
new_50,DES_baseline,0.6349578187475453,0.15857826384142173
new_50,DES_combined,0.656302611116238,0.16181689141234917
new_80,retrain,0.665713774112449,0.17596120540353308
new_80,ensemble_new_3,0.6664676328667649,0.18705035971223022
new_80,DES_baseline,0.6289806263083042,0.13701431492842536
new_80,DES_combined,0.6502318539723793,0.14836154123154482
