,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
retrain_none,0.5979889647161318,0.0,0.0,0.0,0.0,0.0,1.0
retrain_undersampling,0.554639175257732,0.0,0.0,0.0,0.0,0.0,1.0
retrain_oversampling,0.562603455786264,0.0,0.0,0.0,0.0,0.0,1.0
retrain_hybrid,0.5529475824016263,0.0,0.0,0.0,0.0,0.0,1.0
finetune_none,0.577769711049804,0.0,0.0,0.0,0.0,0.004123711340206186,1.0
finetune_undersampling,0.5995208363583564,0.0,0.0,0.0,0.0,0.01752577319587629,1.0
finetune_oversampling,0.5914549150573545,0.0,0.0,0.0,0.0,0.0,1.0
finetune_hybrid,0.6134165819660229,0.0,0.0,0.0,0.0,0.0,1.0
ensemble_old_3,0.5159503412225933,0.12607449856733524,0.49724082604723546,0.6197183098591549,0.07017543859649122,0.6010309278350515,0.38028169014084506
ensemble_new_3,0.6043487730506751,0.0,0.0,0.0,0.0,0.0,1.0
ensemble_all_6,0.5124727747930885,0.0,0.0,0.0,0.0,0.006185567010309278,1.0
ensemble_2_old_hybrid_new_hybrid,0.5768041237113402,0.16560509554140126,0.411483908342054,0.18309859154929578,0.1511627906976744,0.07525773195876288,0.8169014084507042
ensemble_3_type_a,0.5105924205023958,0.13090909090909092,0.5248576317574657,0.5070422535211268,0.07515657620041753,0.45670103092783504,0.49295774647887325
ensemble_3_type_b,0.5823072455350661,0.0,0.0,0.0,0.0,0.0,1.0
