,AUC,F1,Precision,Recall
retrain,0.5907421831534438,0.0,0.0,0.0
finetune,0.575369978858351,0.0,0.0,0.0
ensemble_old_3,0.5490041170579727,0.16725352112676056,0.09125840537944284,1.0
ensemble_new_3,0.5478135084010236,0.0,0.0,0.0
ensemble_all_6,0.5440525203071103,0.1831831831831832,0.10683012259194395,0.6421052631578947
ensemble_2_old_hybrid_new_hybrid,0.5912262156448203,0.21161290322580645,0.12058823529411765,0.8631578947368421
ensemble_3_type_a,0.5638199621675754,0.16725352112676056,0.09125840537944284,1.0
ensemble_3_type_b,0.5737454100367197,0.0,0.0,0.0
