,AUC,F1,Precision,Recall
retrain,0.4865563598759049,0.0,0.0,0.0
finetune,0.5845118645015233,0.0,0.0,0.0
ensemble_old_3,0.5455574499007798,0.14774774774774774,0.08523908523908524,0.5540540540540541
ensemble_new_3,0.5942312529696191,0.0,0.0,0.0
ensemble_all_6,0.5454526398166522,0.0,0.0,0.0
ensemble_2_old_hybrid_new_hybrid,0.5452709690041645,0.0,0.0,0.0
ensemble_3_type_a,0.5346502138125716,0.14647887323943662,0.09252669039145907,0.35135135135135137
ensemble_3_type_b,0.5483244361217474,0.0,0.0,0.0
