old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.4026,0.4126,0.2450,0.2686,0.3322
2yr,0.3205,0.3102,0.3614,0.4350,0.3568
3yr,0.3794,0.3489,0.4116,0.2814,0.3553
4yr,0.3334,0.3400,0.3045,0.3144,0.3231
5yr,0.2787,0.3410,0.2903,0.3086,0.3046
6yr,0.2147,0.2851,0.2604,0.2624,0.2556
7yr,0.3158,0.2748,0.2985,0.2662,0.2888
avg,0.3207,0.3304,0.3102,0.3052,0.3166
