metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.6440,0.6489,0.6387,0.6499
AUC,New,0.6529,0.6625,0.6500,0.6630
AUC,Retrain,0.6614,0.6641,0.6570,0.6638
F1,Old,0.2473,0.2494,0.2447,0.2481
F1,New,0.2566,0.2615,0.2545,0.2633
F1,Retrain,0.2618,0.2582,0.2525,0.2604
G_Mean,Old,0.5875,0.5939,0.5856,0.5961
G_Mean,New,0.5647,0.5910,0.5789,0.5804
G_Mean,Retrain,0.5926,0.6019,0.6044,0.5979
Recall,Old,0.5015,0.5240,0.5023,0.5332
Recall,New,0.4139,0.4774,0.4487,0.4359
Recall,Retrain,0.4698,0.5122,0.5464,0.4905
Precision,Old,0.1651,0.1649,0.1628,0.1622
Precision,New,0.1901,0.1826,0.1791,0.1897
Precision,Retrain,0.1814,0.1726,0.1641,0.1773
