old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.1462,0.1463,0.1621,0.1586,0.1533
2yr,0.1577,0.1587,0.1494,0.1455,0.1528
3yr,0.1565,0.1622,0.1526,0.1679,0.1598
4yr,0.1647,0.1605,0.1634,0.1637,0.1631
5yr,0.1727,0.1622,0.1676,0.1685,0.1678
6yr,0.1880,0.1719,0.1736,0.1747,0.1771
7yr,0.1686,0.1736,0.1705,0.1768,0.1724
avg,0.1649,0.1622,0.1628,0.1651,0.1638
