method,hybrid,none,oversampling,undersampling
Old,0.0729,0.0678,0.0663,0.0695
New,0.1550,0.1504,0.1580,0.1563
Retrain,0.1036,0.1087,0.1040,0.1071
Finetune,0.1069,0.0990,0.1073,0.0985
