new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.1031,0.1126,0.1139,0.0995,0.1073
14yr,0.1265,0.1338,0.1224,0.1077,0.1226
13yr,0.1287,0.1456,0.1422,0.1266,0.1358
12yr,0.1422,0.1383,0.1379,0.1232,0.1354
11yr,0.1427,0.1515,0.1387,0.1529,0.1464
10yr,0.1542,0.1618,0.1321,0.1669,0.1538
9yr,0.1618,0.1635,0.1463,0.1683,0.1600
8yr,0.1507,0.1579,0.1472,0.1531,0.1522
7yr,0.1537,0.1543,0.1707,0.1641,0.1607
6yr,0.1616,0.1747,0.1754,0.1670,0.1697
5yr,0.1717,0.1661,0.1705,0.1812,0.1724
4yr,0.1656,0.1638,0.1824,0.1825,0.1736
3yr,0.1629,0.1707,0.1753,0.1677,0.1692
2yr,0.1555,0.1720,0.2063,0.1834,0.1793
1yr,0.1755,0.1775,0.2091,0.1810,0.1857
avg,0.1504,0.1563,0.1580,0.1550,0.1549
