new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.0574,0.0638,0.0653,0.0548,0.0603
14yr,0.0736,0.0788,0.0712,0.0605,0.0710
13yr,0.0750,0.0886,0.0861,0.0736,0.0808
12yr,0.0848,0.0820,0.0825,0.0705,0.0800
11yr,0.0857,0.0924,0.0826,0.0935,0.0886
10yr,0.0958,0.1021,0.0786,0.1057,0.0955
9yr,0.1021,0.1047,0.0900,0.1049,0.1004
8yr,0.0932,0.0989,0.0909,0.0932,0.0940
7yr,0.0964,0.0966,0.1107,0.1029,0.1016
6yr,0.1026,0.1158,0.1172,0.1055,0.1103
5yr,0.1132,0.1081,0.1125,0.1220,0.1139
4yr,0.1083,0.1068,0.1311,0.1250,0.1178
3yr,0.1039,0.1168,0.1168,0.1054,0.1107
2yr,0.0973,0.1153,0.1555,0.1258,0.1235
1yr,0.1213,0.1222,0.2091,0.1374,0.1475
avg,0.0941,0.0995,0.1067,0.0987,0.0997
