old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.4077,0.4564,0.3310,0.5226,0.4294
2yr,0.2369,0.2369,0.2753,0.2718,0.2552
3yr,0.2230,0.6551,0.2683,0.2718,0.3545
4yr,0.2160,0.2091,0.3415,0.2718,0.2596
5yr,0.5470,0.5226,0.7108,0.5854,0.5915
6yr,0.6307,0.6167,0.6725,0.6132,0.6333
7yr,0.6202,0.5889,0.6132,0.5610,0.5958
8yr,0.5610,0.5505,0.5470,0.5017,0.5401
9yr,0.5470,0.5261,0.5122,0.4948,0.5200
10yr,0.4739,0.4948,0.4739,0.4286,0.4678
11yr,0.4774,0.4634,0.4913,0.4286,0.4652
12yr,0.4286,0.4739,0.4669,0.5401,0.4774
13yr,0.4251,0.4251,0.4599,0.5226,0.4582
14yr,0.5401,0.5331,0.5540,0.5226,0.5375
15yr,0.5017,0.5366,0.5436,0.4739,0.5139
avg,0.4557,0.4859,0.4841,0.4674,0.4733
