new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.7127,0.7134,0.7002,0.7185,0.7112
14yr,0.7170,0.7178,0.7061,0.7203,0.7153
13yr,0.7228,0.7231,0.7142,0.7287,0.7222
12yr,0.7252,0.7253,0.7170,0.7326,0.7250
11yr,0.7262,0.7259,0.7201,0.7357,0.7270
10yr,0.7261,0.7265,0.7198,0.7341,0.7266
9yr,0.7299,0.7303,0.7254,0.7408,0.7316
8yr,0.7215,0.7218,0.7211,0.7339,0.7246
7yr,0.7180,0.7187,0.7220,0.7296,0.7221
6yr,0.7198,0.7206,0.7221,0.7352,0.7244
5yr,0.7250,0.7253,0.7219,0.7349,0.7268
4yr,0.7252,0.7255,0.7239,0.7382,0.7282
3yr,0.7360,0.7369,0.7308,0.7481,0.7380
2yr,0.7193,0.7204,0.7187,0.7369,0.7238
1yr,0.7217,0.7218,0.7083,0.7175,0.7173
avg,0.7231,0.7236,0.7181,0.7323,0.7243
