new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.1970,0.1675,0.1515,0.2229,0.1847
14yr,0.1354,0.1237,0.1359,0.1826,0.1444
13yr,0.1336,0.1003,0.1035,0.1364,0.1185
12yr,0.1133,0.1185,0.1112,0.1538,0.1242
11yr,0.1085,0.0991,0.1148,0.0970,0.1048
10yr,0.0889,0.0821,0.1163,0.0805,0.0919
9yr,0.0821,0.0763,0.0944,0.0868,0.0849
8yr,0.0917,0.0850,0.0925,0.0998,0.0923
7yr,0.0852,0.0858,0.0717,0.0843,0.0817
6yr,0.0794,0.0649,0.0628,0.0813,0.0721
5yr,0.0666,0.0709,0.0664,0.0606,0.0661
4yr,0.0694,0.0704,0.0475,0.0566,0.0610
3yr,0.0776,0.0574,0.0637,0.0835,0.0706
2yr,0.0859,0.0620,0.0398,0.0562,0.0610
1yr,0.0549,0.0557,0.0189,0.0398,0.0423
avg,0.0980,0.0880,0.0861,0.1015,0.0934
