metric,method,hybrid,none,oversampling,undersampling
AUC,Old,0.6327,0.6296,0.6053,0.6302
AUC,New,0.7323,0.7231,0.7181,0.7236
AUC,Retrain,0.7123,0.7075,0.6958,0.7081
AUC,Finetune,0.7128,0.7063,0.6992,0.7067
F1,Old,0.0729,0.0678,0.0663,0.0695
F1,New,0.1550,0.1504,0.1580,0.1563
F1,Retrain,0.1036,0.1087,0.1040,0.1071
F1,Finetune,0.1069,0.0990,0.1073,0.0985
G_Mean,Old,0.5735,0.5613,0.5489,0.5634
G_Mean,New,0.6033,0.5986,0.5792,0.5909
G_Mean,Retrain,0.6287,0.6152,0.6153,0.6177
G_Mean,Finetune,0.6338,0.6262,0.6160,0.6259
Recall,Old,0.5326,0.5443,0.5159,0.5141
Recall,New,0.4100,0.3995,0.3712,0.3849
Recall,Retrain,0.4878,0.4530,0.4599,0.4599
Recall,Finetune,0.4948,0.4927,0.4578,0.4936
Precision,Old,0.0396,0.0365,0.0358,0.0376
Precision,New,0.0987,0.0941,0.1067,0.0995
Precision,Retrain,0.0580,0.0618,0.0586,0.0606
Precision,Finetune,0.0600,0.0551,0.0609,0.0548
