old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0230,0.0219,0.0221,0.0204,0.0218
2yr,0.0266,0.0263,0.0251,0.0260,0.0260
3yr,0.0262,0.0312,0.0256,0.0267,0.0274
4yr,0.0273,0.0269,0.0262,0.0277,0.0270
5yr,0.0286,0.0281,0.0282,0.0321,0.0293
6yr,0.0345,0.0332,0.0316,0.0398,0.0348
7yr,0.0330,0.0331,0.0335,0.0356,0.0338
8yr,0.0381,0.0369,0.0348,0.0381,0.0370
9yr,0.0396,0.0392,0.0347,0.0413,0.0387
10yr,0.0388,0.0468,0.0378,0.0417,0.0413
11yr,0.0417,0.0420,0.0407,0.0419,0.0416
12yr,0.0390,0.0454,0.0417,0.0556,0.0454
13yr,0.0418,0.0406,0.0442,0.0568,0.0458
14yr,0.0571,0.0551,0.0556,0.0573,0.0563
15yr,0.0526,0.0578,0.0556,0.0522,0.0546
avg,0.0365,0.0376,0.0358,0.0396,0.0374
