new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.5017,0.4774,0.4425,0.5401,0.4904
14yr,0.4495,0.4425,0.4355,0.4913,0.4547
13yr,0.4530,0.4077,0.4077,0.4530,0.4303
12yr,0.4390,0.4425,0.4181,0.4878,0.4469
11yr,0.4251,0.4216,0.4321,0.4181,0.4242
10yr,0.3937,0.3902,0.4146,0.3972,0.3990
9yr,0.3902,0.3728,0.3902,0.4251,0.3946
8yr,0.3937,0.3902,0.3868,0.4286,0.3998
7yr,0.3798,0.3833,0.3728,0.4042,0.3850
6yr,0.3798,0.3554,0.3484,0.4007,0.3711
5yr,0.3554,0.3589,0.3519,0.3519,0.3545
4yr,0.3519,0.3519,0.2997,0.3380,0.3354
3yr,0.3763,0.3171,0.3519,0.4111,0.3641
2yr,0.3868,0.3380,0.3066,0.3380,0.3423
1yr,0.3171,0.3240,0.2091,0.2648,0.2787
avg,0.3995,0.3849,0.3712,0.4100,0.3914
