fs_tag,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
ga_r20,0.6500811609,0.1698113208,0.3358264901,0.1162898016,0.3146067416,0.0301863969,0.8837101984
ga_r50,0.6311204606,0.1536952256,0.3233160668,0.1084448546,0.2637485971,0.0360697201,0.8915551454
ga_r80,0.6645587480,0.1988579106,0.3643267043,0.1365943701,0.3654320988,0.0282619453,0.8634056299
