fs_tag,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
ga_r20,0.4978858351,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
ga_r50,0.5450873484,0.1534883721,0.4862868579,0.3473684211,0.0985074627,0.3192389006,0.6526315789
ga_r80,0.5397518638,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000
