Ticker,^SPX,^SPX,^SPX,^SPX,^SPX,^SPX,^SPX,^SPX,^SPX,^SPX,^SPX,^SPX,^SPX,^SPX
Date,Open,High,Low,Close,Volume,Returns,Log_Returns,SMA_5,SMA_20,SMA_60,Volatility_20,RSI,Future_Returns_20,Crash_Event
2000-03-28,1523.86,1527.36,1507.09,1507.73,532833333,-0.010584961873137844,-0.010641381065242726,1517.408,1433.7935,1416.0845000000002,0.017658483726066248,75.07200000000002,-0.03100024540202817,0
2000-03-29,1507.73,1521.45,1497.45,1508.52,589944444,0.0005239664926743881,0.000523829270162905,1518.984,1440.26,1416.9728333333333,0.01765648341433294,71.62112932604737,-0.028902500464030867,0
2000-03-30,1508.52,1517.38,1474.63,1487.92,663000000,-0.013655768567867765,-0.013749866207868553,1511.098,1445.5679999999998,1418.4478333333332,0.01811978157432716,67.7853120330997,-0.023852088821979645,0
2000-03-31,1487.92,1519.81,1484.38,1498.58,681888889,0.0071643636754663564,0.00713882154487963,1505.3220000000001,1450.0385,1420.0556666666666,0.01774954847089652,72.08730402705201,-0.02023915973788515,0
2000-04-03,1498.58,1507.19,1486.96,1505.97,567611111,0.004931334997130721,0.00491921579095064,1501.744,1455.7730000000001,1421.7643333333333,0.01735037359542801,80.18999835499262,-0.03962894347164958,0
2000-04-04,1505.98,1526.45,1416.41,1494.73,841922222,-0.00746362809352108,-0.007491620335109972,1499.144,1462.7285,1422.6519999999998,0.01614505252365649,73.16742694548577,-0.05327383540840158,1
2000-04-05,1494.73,1506.55,1478.05,1487.37,616833333,-0.004923966201253793,-0.004936128864951875,1494.914,1468.7620000000002,1423.1481666666666,0.016275438903653426,58.89559221866532,-0.05230709238454445,1
2000-04-06,1487.37,1511.76,1487.37,1501.34,560000000,0.009392417488587324,0.009348582996253654,1497.598,1473.7445,1424.1945,0.015549568160514532,60.818027111085,-0.0457657825675728,0
2000-04-07,1501.34,1518.68,1501.34,1516.35,495333333,0.009997735356414905,0.00994808862928292,1501.1519999999998,1479.8084999999999,1425.5961666666667,0.015485483402232665,66.81495663926114,-0.06079071454479501,1
2000-04-10,1516.35,1527.19,1503.35,1504.46,474277778,-0.007841197612688311,-0.007872101457463195,1500.85,1485.8505,1426.5091666666667,0.01547013571765775,53.4782894304671,-0.0613642104143679,1
2000-04-11,1504.46,1512.8,1486.78,1500.59,539666667,-0.002572351541416884,-0.0025756657223554988,1502.022,1492.9225,1427.0998333333332,0.014688705987058698,49.983258554878404,-0.07832919051839604,1
2000-04-12,1500.59,1509.08,1466.15,1467.17,653277778,-0.022271239978941537,-0.022522988905343863,1497.982,1496.674,1427.3003333333331,0.015164427469304206,30.716482953089,-0.040458842533585115,0
2000-04-13,1467.17,1477.52,1439.34,1440.51,573333333,-0.01817103675783993,-0.018338157648510305,1485.816,1495.7759999999998,1427.0438333333334,0.01163660439281193,26.189824196286736,-0.013571582286828976,0
2000-04-14,1440.51,1440.51,1339.4,1356.56,710944444,-0.05827797099638321,-0.06004513393563131,1453.858,1490.3805,1425.5603333333333,0.01730271345950845,18.186658553282115,0.07061980303119642,0
2000-04-17,1356.56,1401.53,1346.5,1401.44,669277778,0.03308368225511593,0.032548195815906886,1433.2540000000001,1487.6209999999999,1424.895,0.01914320400654736,31.780314717679744,0.046095444685466225,0
2000-04-18,1401.44,1441.61,1397.81,1441.61,616333333,0.02866337481447645,0.02826026515219442,1421.458,1485.008,1425.5629999999999,0.01938683474346425,39.89488627782643,0.0042938103925471705,0
2000-04-19,1441.61,1447.69,1424.26,1427.47,556333333,-0.009808478021101297,-0.009856898019463543,1413.518,1481.3494999999998,1425.8536666666666,0.019413361742333483,40.688826591910285,0.006823260734025949,0
2000-04-20,1427.47,1435.49,1422.08,1434.54,497888889,0.004952818623158439,0.004940593765387465,1412.324,1476.709,1426.3611666666666,0.018919063480359186,40.025543579839265,-0.019232646004991083,0
2000-04-24,1434.54,1434.54,1407.13,1429.86,482611111,-0.0032623698188967154,-0.0032677029495695813,1426.984,1471.8290000000002,1426.8828333333333,0.018905650453624953,38.04467343156041,-0.020379617584938337,0
2000-04-25,1429.86,1477.67,1429.86,1477.44,595055556,0.033275985061474556,0.032734322955296435,1442.184,1469.508,1428.8375,0.020586064094417145,47.56238545044411,-0.07010775395278335,1
2000-04-26,1477.44,1482.94,1456.98,1460.99,555333333,-0.011134123889971925,-0.011196572218317094,1446.06,1467.1709999999998,1429.9463333333333,0.02059940281435661,46.37378347171058,-0.04239590962292694,0
2000-04-27,1460.99,1469.21,1434.81,1464.92,617222222,0.002689956810108196,0.0026863453512838776,1453.55,1464.991,1430.8736666666666,0.02061557066884121,44.85156912637831,-0.05693143652895727,1
2000-04-28,1464.92,1473.62,1448.15,1452.43,547000000,-0.008526062856674788,-0.008562617657917949,1457.128,1463.2165,1431.5955,0.020484748947456707,40.89925394384648,-0.051231384645043176,1
2000-05-01,1452.43,1481.51,1452.43,1468.25,536833333,0.010892091185117359,0.010833199608955815,1464.806,1461.7,1432.3168333333333,0.02057973148209065,44.90157979217707,-0.031193597820534658,0
2000-05-02,1468.25,1468.25,1445.22,1446.29,561944444,-0.014956580963732313,-0.015069558541687723,1458.5759999999998,1458.716,1432.6821666666667,0.02076690669006269,42.725080385852095,-0.017762689363820527,0
