Ticker,^DJI,^DJI,^DJI,^DJI,^DJI,^DJI,^DJI,^DJI,^DJI,^DJI,^DJI,^DJI,^DJI,^DJI
Date,Open,High,Low,Close,Volume,Returns,Log_Returns,SMA_5,SMA_20,SMA_60,Volatility_20,RSI,Future_Returns_20,Crash_Event
2000-03-28,11023.7,11094.3,10932.8,10936.1,177878709,-0.008135464093308342,-0.008168737567631982,11012.240000000002,10409.8425,10744.344500000001,0.019250650081227637,76.52884194799263,0.0008595385923684251,0
2000-03-29,10939.0,11101.5,10910.8,11018.7,199399272,0.007552966779747816,0.0075245859429183305,11042.64,10453.8825,10738.697833333334,0.0192518491109343,75.6731562700572,-0.011852577890313798,0
2000-03-30,11008.2,11144.1,10916.3,10980.2,214218892,-0.0034940600978337066,-0.0035001785822096863,11014.7,10494.647500000001,10738.402833333332,0.019329304311163142,77.3831103887987,-0.02243128540463757,0
2000-03-31,10993.3,11107.8,10921.9,10921.9,179648369,-0.0053095572029654425,-0.0053237029959605515,10976.54,10522.3825,10735.056166666667,0.01906073140741365,74.86975379512698,-0.010080663620798624,0
2000-04-03,10863.3,11223.8,10863.0,11221.9,279938450,0.02746774828555476,0.027097278365748694,11015.76,10574.9525,10734.532833333333,0.0190998673533008,83.2098160895728,-0.04373590924887938,0
2000-04-04,11225.3,11418.2,10717.8,11164.8,319262113,-0.005088264910576679,-0.005101254211212671,11061.5,10643.391,10728.569500000001,0.01658686110631249,77.76762682717114,-0.06132666953281729,1
2000-04-05,11163.3,11218.2,11002.6,11033.9,189255018,-0.011724347950702207,-0.011793620097648904,11064.54,10702.2595,10719.597833333333,0.017091292074531004,63.510887772194316,-0.056317349260007754,1
2000-04-06,11029.6,11201.1,11029.6,11114.3,161820153,0.0072866348254017055,0.007260215562581223,11091.359999999999,10757.439499999999,10712.984499999999,0.01693937200325258,66.88130081300812,-0.048262148763304924,0
2000-04-07,11122.0,11192.5,11062.8,11111.5,156512799,-0.00025192769675097537,-0.0002519594358639235,11129.279999999999,10816.5735,10705.657833333333,0.016696489137469777,64.81825053253627,-0.04570940017099401,0
2000-04-10,11114.9,11287.7,11097.2,11186.6,149992738,0.006758763443279525,0.006736025398185605,11122.220000000001,10878.547,10699.061166666665,0.016671771186187893,60.71510780326869,-0.05808735451343583,1
2000-04-11,11181.0,11361.2,11102.5,11287.1,171206255,0.008983962955679159,0.008943847246825155,11146.68,10952.34,10691.796166666665,0.0160211485975518,65.41960093896714,-0.08144696157560405,1
2000-04-12,11283.0,11425.5,11116.8,11125.1,234734161,-0.01435266809012059,-0.014456663908446809,11164.92,11002.025,10684.536166666667,0.015525205454549891,50.204402515723295,-0.05205346468795791,1
2000-04-13,11132.6,11144.1,10920.8,10923.5,200288664,-0.018121185427546704,-0.01828738499193977,11126.76,11016.670000000002,10675.1045,0.012355074527097025,43.54882705946534,-0.028754520071405665,0
2000-04-14,10922.8,10922.8,10201.5,10305.8,267626124,-0.05654780976793161,-0.058209588237442544,10965.62,11002.2,10657.6795,0.017914537475903863,31.97476467053876,0.048710434900735455,0
2000-04-17,10303.3,10583.8,10232.5,10582.5,247502218,0.02684895883871219,0.026494849866373793,10844.8,10997.314999999999,10646.526166666667,0.018894079670510613,41.90550315905137,0.033271911174108215,0
2000-04-18,10584.0,10773.9,10571.3,10767.4,218315637,0.01747224190881158,0.017321357283187844,10740.859999999999,10990.32,10642.512833333334,0.018684324708530445,44.504701508856314,0.00021360774188772247,0
2000-04-19,10749.0,10789.4,10632.2,10675.0,193774184,-0.008581458848004098,-0.008618491581441373,10650.84,10980.734999999999,10636.597833333333,0.018760181989219204,43.479747051786006,0.00958313817330203,0
2000-04-20,10668.2,10845.3,10665.1,10844.0,158296009,0.01583138173302112,0.015707372521730885,10634.939999999999,10966.939999999999,10633.447833333334,0.018326160196838016,48.410917547223704,-0.020029509406123247,0
