new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.8462,0.8493,0.8018,0.8135,0.8277
14yr,0.8499,0.8510,0.8047,0.8215,0.8318
13yr,0.8586,0.8519,0.8078,0.8250,0.8358
12yr,0.8565,0.8590,0.8169,0.8352,0.8419
11yr,0.8646,0.8587,0.8159,0.8364,0.8439
10yr,0.8597,0.8607,0.8225,0.8383,0.8453
9yr,0.8588,0.8721,0.8237,0.8386,0.8483
8yr,0.8671,0.8607,0.8301,0.8393,0.8493
7yr,0.8669,0.8620,0.8294,0.8401,0.8496
6yr,0.8566,0.8671,0.8244,0.8373,0.8463
5yr,0.8612,0.8640,0.8206,0.8302,0.8440
4yr,0.8609,0.8581,0.8228,0.8324,0.8435
3yr,0.8563,0.8596,0.8265,0.8351,0.8444
2yr,0.8539,0.8526,0.8237,0.8356,0.8414
avg,0.8584,0.8590,0.8193,0.8327,0.8424
