old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.0789,0.0888,0.1794,0.2146,0.1404
2+14,0.0907,0.0770,0.2092,0.1227,0.1249
3+13,0.0998,0.1291,0.1575,0.1343,0.1302
4+12,0.0674,0.0745,0.1283,0.1314,0.1004
5+11,0.0898,0.0990,0.1617,0.1281,0.1197
6+10,0.0940,0.0767,0.1642,0.1362,0.1178
7+9,0.1170,0.0987,0.1952,0.1762,0.1468
8+8,0.1112,0.0935,0.1334,0.1705,0.1271
9+7,0.0845,0.0920,0.1258,0.1090,0.1029
10+6,0.0933,0.1032,0.1498,0.1175,0.1159
11+5,0.0915,0.0813,0.1511,0.1843,0.1271
12+4,0.0701,0.0925,0.1365,0.1442,0.1108
13+3,0.0940,0.0857,0.1040,0.1406,0.1061
14+2,0.0907,0.0969,0.1461,0.1528,0.1216
avg,0.0909,0.0921,0.1530,0.1473,0.1208
