old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.5366,0.5366,0.5157,0.3972,0.4965
2+14,0.5505,0.5645,0.4599,0.5854,0.5401
3+13,0.4878,0.4251,0.5226,0.5436,0.4948
4+12,0.5819,0.5505,0.5923,0.5366,0.5653
5+11,0.4948,0.4808,0.5226,0.5436,0.5105
6+10,0.4913,0.5331,0.4843,0.4983,0.5017
7+9,0.4355,0.4774,0.4181,0.4042,0.4338
8+8,0.4286,0.4460,0.5505,0.4181,0.4608
9+7,0.5122,0.4669,0.5401,0.5052,0.5061
10+6,0.4425,0.4286,0.4564,0.5017,0.4573
11+5,0.4321,0.4774,0.4321,0.3310,0.4181
12+4,0.5052,0.4564,0.4704,0.4042,0.4591
13+3,0.4251,0.4634,0.5819,0.4077,0.4695
14+2,0.4460,0.4146,0.4530,0.3902,0.4260
avg,0.4836,0.4801,0.5000,0.4619,0.4814
