old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0355,0.0329,0.0324,0.0310,0.0330
2yr,0.0285,0.0292,0.0371,0.0370,0.0329
3yr,0.0363,0.0338,0.0359,0.0368,0.0357
4yr,0.0475,0.0441,0.0398,0.0397,0.0428
5yr,0.0474,0.0543,0.0396,0.0418,0.0458
6yr,0.0530,0.0486,0.0378,0.0455,0.0462
7yr,0.0526,0.0536,0.0412,0.0473,0.0487
8yr,0.0591,0.0640,0.0450,0.0508,0.0547
9yr,0.0611,0.0629,0.0479,0.0518,0.0559
10yr,0.0783,0.0794,0.0542,0.0669,0.0697
11yr,0.0921,0.0824,0.0587,0.0593,0.0731
12yr,0.0813,0.0892,0.0564,0.0714,0.0746
13yr,0.0984,0.1006,0.0612,0.0748,0.0837
14yr,0.1169,0.0974,0.0679,0.0820,0.0911
15yr,0.1220,0.1223,0.0711,0.0919,0.1018
avg,0.0673,0.0663,0.0484,0.0552,0.0593
