old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.6197,0.6100,0.6182,0.6042,0.6130
2yr,0.6118,0.6110,0.6392,0.6603,0.6306
3yr,0.6454,0.6288,0.6615,0.6746,0.6526
4yr,0.6646,0.6663,0.6816,0.6844,0.6742
5yr,0.6708,0.6775,0.6856,0.6834,0.6794
6yr,0.6650,0.6720,0.6789,0.6977,0.6784
7yr,0.6906,0.7039,0.6802,0.7140,0.6972
8yr,0.7068,0.7148,0.7001,0.7195,0.7103
9yr,0.7334,0.7502,0.7148,0.7318,0.7326
10yr,0.7849,0.7777,0.7379,0.7571,0.7644
11yr,0.7878,0.7799,0.7433,0.7651,0.7690
12yr,0.7940,0.7957,0.7538,0.7742,0.7794
13yr,0.8128,0.8097,0.7554,0.7853,0.7908
14yr,0.8146,0.8245,0.7658,0.7883,0.7983
avg,0.7144,0.7159,0.7012,0.7171,0.7122
