new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.6566,0.6852,0.6038,0.6807,0.6566
14yr,0.6880,0.7136,0.6427,0.6636,0.6770
13yr,0.6668,0.6392,0.6385,0.6437,0.6470
12yr,0.6883,0.6870,0.5603,0.6266,0.6406
11yr,0.7059,0.6990,0.6236,0.6613,0.6724
10yr,0.6841,0.6679,0.6655,0.6554,0.6682
9yr,0.7016,0.6606,0.7147,0.6940,0.6927
8yr,0.6411,0.7246,0.6974,0.7077,0.6927
7yr,0.6535,0.6798,0.6407,0.6328,0.6517
6yr,0.6788,0.6822,0.6924,0.6888,0.6855
5yr,0.6042,0.6067,0.6456,0.6497,0.6266
4yr,0.6096,0.6888,0.6274,0.6379,0.6409
3yr,0.6205,0.6794,0.5245,0.6335,0.6145
2yr,0.6723,0.6544,0.5221,0.5800,0.6072
1yr,0.7313,0.4472,0.6800,0.3467,0.5513
avg,0.6668,0.6610,0.6319,0.6335,0.6483
