method,hybrid,none,oversampling,undersampling
Old,0.0979,0.1100,0.0874,0.1084
New,0.1786,0.2474,0.1549,0.2446
Retrain,0.1556,0.1856,0.1425,0.2073
Finetune,0.1422,0.1960,0.1298,0.1962
