method,hybrid,none,oversampling,undersampling
Old,0.5087,0.3153,0.5167,0.3203
New,0.4729,0.4662,0.4482,0.4893
Retrain,0.4634,0.5401,0.5122,0.4530
Finetune,0.5381,0.5164,0.5000,0.5199
