new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.0698,0.0895,0.1056,0.1365,0.1003
14yr,0.0696,0.0922,0.1284,0.1163,0.1016
13yr,0.0547,0.0468,0.1204,0.0923,0.0785
12yr,0.0622,0.0594,0.0805,0.0763,0.0696
11yr,0.0714,0.0774,0.0999,0.0905,0.0848
10yr,0.0673,0.0517,0.1234,0.0869,0.0823
9yr,0.0706,0.0439,0.1575,0.1025,0.0936
8yr,0.0409,0.0812,0.1276,0.1180,0.0919
7yr,0.0424,0.0526,0.1006,0.0733,0.0672
6yr,0.0620,0.0659,0.1346,0.1043,0.0917
5yr,0.0298,0.0308,0.1072,0.0821,0.0625
4yr,0.0305,0.0609,0.0889,0.0732,0.0634
3yr,0.0392,0.0672,0.0487,0.0711,0.0565
2yr,0.0667,0.0474,0.0576,0.0534,0.0563
1yr,0.0970,0.0106,0.1094,0.0141,0.0578
avg,0.0583,0.0585,0.1060,0.0860,0.0772
