old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.3033,0.4504,0.4479,0.2844,0.3715
2yr,0.1422,0.0583,0.3878,0.4148,0.2508
3yr,0.1262,0.1691,0.5067,0.4085,0.3026
4yr,0.1204,0.1102,0.3240,0.3612,0.2289
5yr,0.1390,0.0712,0.2768,0.2315,0.1796
6yr,0.0759,0.0995,0.2059,0.2188,0.1500
7yr,0.1006,0.0868,0.2193,0.1982,0.1512
8yr,0.0890,0.0940,0.1752,0.2369,0.1488
9yr,0.0948,0.1231,0.2107,0.2305,0.1648
10yr,0.1128,0.1044,0.2559,0.1210,0.1485
11yr,0.0871,0.1151,0.2018,0.2368,0.1602
12yr,0.1328,0.1080,0.2162,0.1508,0.1520
13yr,0.0985,0.0880,0.1905,0.1506,0.1319
14yr,0.0762,0.0989,0.1442,0.1335,0.1132
avg,0.1213,0.1269,0.2688,0.2412,0.1896
