old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0660,0.0626,0.0616,0.0573,0.0619
2yr,0.0489,0.0417,0.0699,0.0700,0.0577
3yr,0.0614,0.0595,0.0686,0.0696,0.0648
4yr,0.0799,0.0731,0.0743,0.0746,0.0755
5yr,0.0815,0.0824,0.0732,0.0760,0.0783
6yr,0.0817,0.0791,0.0680,0.0823,0.0778
7yr,0.0858,0.0851,0.0746,0.0848,0.0826
8yr,0.0943,0.1033,0.0796,0.0927,0.0925
9yr,0.0988,0.1063,0.0864,0.0943,0.0964
10yr,0.1311,0.1311,0.0996,0.1129,0.1187
11yr,0.1474,0.1384,0.1056,0.1083,0.1249
12yr,0.1395,0.1485,0.1021,0.1244,0.1286
13yr,0.1615,0.1616,0.1095,0.1304,0.1407
14yr,0.1831,0.1599,0.1176,0.1408,0.1503
avg,0.1043,0.1023,0.0850,0.0942,0.0965
