split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
split_5+11,New,none,0.864598,0.237288,0.705867,0.536585,0.152324,0.071446,0.463415
split_5+11,New,undersampling,0.858661,0.222222,0.698998,0.529617,0.140611,0.077449,0.470383
split_5+11,New,oversampling,0.815943,0.154133,0.623622,0.432056,0.093797,0.099875,0.567944
split_5+11,New,hybrid,0.836373,0.182660,0.661288,0.480836,0.112745,0.090538,0.519164
split_5+11,Finetune,none,0.839305,0.192180,0.678132,0.505226,0.118658,0.089787,0.494774
split_5+11,Finetune,undersampling,0.838978,0.183498,0.683919,0.519164,0.111444,0.099041,0.480836
split_5+11,Finetune,oversampling,0.782708,0.115905,0.632572,0.477352,0.065961,0.161734,0.522648
split_5+11,Finetune,hybrid,0.799238,0.134084,0.630870,0.456446,0.078584,0.128053,0.543554
split_6+10,Old,none,0.665046,0.081665,0.405221,0.177700,0.053015,0.075948,0.822300
split_6+10,Old,undersampling,0.672002,0.079118,0.437478,0.212544,0.048606,0.099541,0.787456
split_6+10,Old,oversampling,0.678940,0.067975,0.518057,0.337979,0.037787,0.205919,0.662021
split_6+10,Old,hybrid,0.697677,0.082345,0.583320,0.435540,0.045471,0.218758,0.564460
split_6+10,New,none,0.859717,0.232633,0.684095,0.501742,0.151420,0.067278,0.498258
split_6+10,New,undersampling,0.860737,0.259117,0.667885,0.470383,0.178808,0.051688,0.529617
split_6+10,New,oversampling,0.822520,0.151674,0.665499,0.505226,0.089231,0.123385,0.494774
split_6+10,New,hybrid,0.838304,0.184426,0.655379,0.470383,0.114698,0.086870,0.529617
split_6+10,Finetune,none,0.834389,0.187179,0.678907,0.508711,0.114690,0.093956,0.491289
split_6+10,Finetune,undersampling,0.841662,0.199851,0.656573,0.466899,0.127135,0.076699,0.533101
split_6+10,Finetune,oversampling,0.784112,0.123128,0.656529,0.515679,0.069910,0.164152,0.484321
split_6+10,Finetune,hybrid,0.804955,0.139467,0.658326,0.501742,0.080990,0.136223,0.498258
split_7+9,Old,none,0.690617,0.085842,0.458212,0.233449,0.052590,0.100625,0.766551
split_7+9,Old,undersampling,0.703887,0.085076,0.433283,0.205575,0.053636,0.086786,0.794425
split_7+9,Old,oversampling,0.680184,0.074563,0.554407,0.393728,0.041181,0.219341,0.606272
split_7+9,Old,hybrid,0.713990,0.084831,0.574172,0.411150,0.047295,0.198166,0.588850
split_7+9,New,none,0.858784,0.236392,0.701583,0.529617,0.152152,0.070613,0.470383
split_7+9,New,undersampling,0.872063,0.277249,0.660600,0.456446,0.199088,0.043935,0.543554
split_7+9,New,oversampling,0.823661,0.148085,0.714699,0.606272,0.084343,0.157482,0.393728
split_7+9,New,hybrid,0.838608,0.184431,0.693979,0.536585,0.111352,0.102459,0.463415
split_7+9,Finetune,none,0.840100,0.174946,0.706001,0.564460,0.103514,0.116965,0.435540
split_7+9,Finetune,undersampling,0.845762,0.185071,0.686337,0.522648,0.112444,0.098708,0.477352
split_7+9,Finetune,oversampling,0.782991,0.119456,0.684303,0.581882,0.066560,0.195248,0.418118
split_7+9,Finetune,hybrid,0.810755,0.133022,0.700615,0.595819,0.074869,0.176157,0.404181
split_8+8,Old,none,0.706756,0.094300,0.461176,0.233449,0.059083,0.088954,0.766551
split_8+8,Old,undersampling,0.714803,0.103286,0.493037,0.268293,0.063953,0.093956,0.731707
split_8+8,Old,oversampling,0.700096,0.079582,0.533385,0.344948,0.044980,0.175240,0.655052
split_8+8,Old,hybrid,0.719493,0.092655,0.635715,0.529617,0.050768,0.236932,0.470383
split_8+8,New,none,0.867065,0.273333,0.641143,0.428571,0.200653,0.040850,0.571429
split_8+8,New,undersampling,0.860704,0.230175,0.724588,0.571429,0.144112,0.081201,0.428571
split_8+8,New,oversampling,0.830144,0.161780,0.697377,0.557491,0.094619,0.127637,0.442509
split_8+8,New,hybrid,0.839299,0.174705,0.707742,0.567944,0.103230,0.118049,0.432056
split_8+8,Finetune,none,0.839597,0.183754,0.712656,0.571429,0.109479,0.111213,0.428571
split_8+8,Finetune,undersampling,0.843316,0.202936,0.708683,0.554007,0.124219,0.093456,0.445993
split_8+8,Finetune,oversampling,0.795127,0.127976,0.624117,0.449477,0.074610,0.133389,0.550523
split_8+8,Finetune,hybrid,0.812576,0.133653,0.694750,0.581882,0.075497,0.170488,0.418118
split_9+7,Old,none,0.733377,0.098798,0.483114,0.257840,0.061107,0.094789,0.742160
split_9+7,Old,undersampling,0.750242,0.106337,0.550001,0.344948,0.062857,0.123051,0.655052
split_9+7,Old,oversampling,0.714823,0.086365,0.591003,0.442509,0.047852,0.210671,0.557491
split_9+7,Old,hybrid,0.731798,0.094287,0.636280,0.526132,0.051783,0.230513,0.473868
split_9+7,New,none,0.866856,0.277056,0.653504,0.445993,0.200942,0.042434,0.554007
split_9+7,New,undersampling,0.861954,0.264650,0.679812,0.487805,0.181582,0.052605,0.512195
split_9+7,New,oversampling,0.829417,0.161231,0.640715,0.456446,0.097907,0.100625,0.543554
split_9+7,New,hybrid,0.840061,0.192248,0.632767,0.432056,0.123629,0.073281,0.567944
split_9+7,Finetune,none,0.847484,0.194310,0.668258,0.487805,0.121317,0.084535,0.512195
split_9+7,Finetune,undersampling,0.854503,0.198187,0.695726,0.533101,0.121718,0.092038,0.466899
split_9+7,Finetune,oversampling,0.797989,0.136929,0.634090,0.459930,0.080439,0.125802,0.540070
split_9+7,Finetune,hybrid,0.817901,0.163500,0.663943,0.494774,0.097931,0.109045,0.505226
split_10+6,Old,none,0.784939,0.131054,0.596238,0.400697,0.078338,0.112797,0.599303
split_10+6,Old,undersampling,0.777720,0.131148,0.580542,0.376307,0.079412,0.104377,0.623693
split_10+6,Old,oversampling,0.737917,0.099632,0.675491,0.613240,0.054221,0.255940,0.386760
split_10+6,Old,hybrid,0.757142,0.112921,0.564389,0.362369,0.066881,0.120967,0.637631
split_10+6,New,none,0.856556,0.240614,0.678835,0.491289,0.159322,0.062026,0.508711
split_10+6,New,undersampling,0.867082,0.234234,0.682203,0.498258,0.153105,0.065944,0.501742
split_10+6,New,oversampling,0.824356,0.154294,0.692399,0.554007,0.089628,0.134639,0.445993
split_10+6,New,hybrid,0.837344,0.179882,0.688753,0.529617,0.108339,0.104293,0.470383
split_10+6,Finetune,none,0.854838,0.204342,0.710974,0.557491,0.125098,0.093289,0.442509
split_10+6,Finetune,undersampling,0.854508,0.194198,0.715857,0.571429,0.116976,0.103210,0.428571
split_10+6,Finetune,oversampling,0.802413,0.139286,0.679796,0.543554,0.079877,0.149812,0.456446
split_10+6,Finetune,hybrid,0.818114,0.155519,0.663121,0.498258,0.092139,0.117466,0.501742
split_11+5,Old,none,0.787778,0.147427,0.580656,0.369338,0.092094,0.087120,0.630662
split_11+5,Old,undersampling,0.779939,0.138393,0.618314,0.432056,0.082392,0.115131,0.567944
split_11+5,Old,oversampling,0.743305,0.105631,0.648029,0.526132,0.058709,0.201834,0.473868
split_11+5,Old,hybrid,0.765149,0.108255,0.689908,0.623693,0.059272,0.236849,0.376307
split_11+5,New,none,0.861193,0.286853,0.604215,0.376307,0.231760,0.029846,0.623693
split_11+5,New,undersampling,0.863985,0.284967,0.606719,0.379791,0.228033,0.030763,0.620209
split_11+5,New,oversampling,0.820601,0.157001,0.645633,0.466899,0.094366,0.107211,0.533101
split_11+5,New,hybrid,0.830237,0.188034,0.649740,0.459930,0.118174,0.082118,0.540070
split_11+5,Finetune,none,0.859406,0.210594,0.718301,0.567944,0.129262,0.091538,0.432056
split_11+5,Finetune,undersampling,0.855042,0.212465,0.692940,0.522648,0.133333,0.081284,0.477352
split_11+5,Finetune,oversampling,0.806551,0.144120,0.694369,0.567944,0.082532,0.151063,0.432056
split_11+5,Finetune,hybrid,0.818604,0.142751,0.738699,0.668990,0.079900,0.184327,0.331010
split_12+4,Old,none,0.794002,0.139535,0.652720,0.491289,0.081315,0.132805,0.508711
split_12+4,Old,undersampling,0.795664,0.148538,0.628250,0.442509,0.089248,0.108045,0.557491
split_12+4,Old,oversampling,0.753759,0.102142,0.650631,0.540070,0.056405,0.216173,0.459930
split_12+4,Old,hybrid,0.774184,0.124385,0.641310,0.484321,0.071355,0.150813,0.515679
split_12+4,New,none,0.860903,0.288336,0.609574,0.383275,0.231092,0.030513,0.616725
split_12+4,New,undersampling,0.858052,0.249570,0.688824,0.505226,0.165714,0.060859,0.494774
split_12+4,New,oversampling,0.822815,0.167908,0.627422,0.432056,0.104202,0.088870,0.567944
split_12+4,New,hybrid,0.832426,0.195198,0.637879,0.439024,0.125498,0.073197,0.560976
split_12+4,Finetune,none,0.853682,0.223622,0.678295,0.494774,0.144456,0.070113,0.505226
split_12+4,Finetune,undersampling,0.851285,0.201031,0.702353,0.543554,0.123320,0.092455,0.456446
split_12+4,Finetune,oversampling,0.812000,0.146435,0.676268,0.529617,0.084964,0.136474,0.470383
split_12+4,Finetune,hybrid,0.821804,0.156307,0.714063,0.595819,0.089953,0.144227,0.404181
split_13+3,Old,none,0.812831,0.161452,0.636542,0.449477,0.098398,0.098541,0.550523
split_13+3,Old,undersampling,0.809672,0.161644,0.612363,0.411150,0.100597,0.087953,0.588850
split_13+3,Old,oversampling,0.755445,0.109519,0.648279,0.519164,0.061216,0.190496,0.480836
split_13+3,Old,hybrid,0.785306,0.130357,0.657325,0.508711,0.074757,0.150646,0.491289
split_13+3,New,none,0.856262,0.263761,0.620481,0.400697,0.196581,0.039183,0.599303
split_13+3,New,undersampling,0.859605,0.229960,0.679358,0.494774,0.149789,0.067195,0.505226
split_13+3,New,oversampling,0.826515,0.174004,0.524517,0.289199,0.124438,0.048687,0.710801
split_13+3,New,hybrid,0.835061,0.196203,0.633507,0.432056,0.126919,0.071113,0.567944
split_13+3,Finetune,none,0.862668,0.208993,0.721732,0.574913,0.127709,0.093956,0.425087
split_13+3,Finetune,undersampling,0.857430,0.209666,0.700428,0.536585,0.130288,0.085702,0.463415
split_13+3,Finetune,oversampling,0.810802,0.145015,0.612059,0.418118,0.087719,0.104043,0.581882
split_13+3,Finetune,hybrid,0.829025,0.158582,0.713462,0.592334,0.091546,0.140642,0.407666
split_14+2,Old,none,0.814602,0.183056,0.624081,0.421603,0.116908,0.076198,0.578397
split_14+2,Old,undersampling,0.824487,0.159900,0.633952,0.445993,0.097412,0.098875,0.554007
split_14+2,Old,oversampling,0.765761,0.117592,0.612948,0.439024,0.067888,0.144227,0.560976
split_14+2,Old,hybrid,0.788341,0.140817,0.657080,0.498258,0.081995,0.133472,0.501742
split_14+2,New,none,0.853908,0.226754,0.672324,0.484321,0.148030,0.066694,0.515679
